index,country,iso3Code,year,Armed forces (% labor force),government  consumption exp (% of GDP),Population density,"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",immigration_100k
71,Armenia,ARM,2020,3.183240173,14.96861824,104.0217773,2961500,18.175,2.8701671450278576
72,Armenia,ARM,2021,3.183240173,13.64985026,104.0498771,2962300,15.469,2.869392026465922
73,Armenia,ARM,2022,3.183240173,11.67648189,104.2922374,2969200,13.379,4.5466792401993805
74,Armenia,ARM,2023,3.183240173,14.14657932,104.2922374,2990900,13.245,8.024340499515196
75,Australia,AUS,2015,0.459869028,19.18887551,3.100112596,23815995,6.055,6.172322424488248
76,Australia,AUS,2016,0.453519543,19.97359332,3.144935531,24190907,5.711,7.068771749649568
77,Australia,AUS,2017,0.445370371,19.94828337,3.197156014,24592588,5.592,7.603917082659214
78,Australia,AUS,2018,0.435963557,20.01682912,3.245344916,24963258,5.3,8.732834472167054
79,Australia,AUS,2019,0.433723805,20.37134132,3.293650563,25334826,5.159,8.427135043
80,Australia,AUS,2020,0.441194021,21.89469148,3.334526951,25649248,6.456,4.600524740530404
81,Australia,AUS,2021,0.441194021,22.42271872,3.339228447,25685412,5.116,8.078515540260753
82,Australia,AUS,2022,0.441194021,22.07842755,3.381998357,26014399,3.728,4.862691619360493
83,Australia,AUS,2023,0.441194021,21.31385508,3.381998357,26658948,3.668,4.726368047231271
84,Austria,AUT,2015,0.478649862,19.88795485,104.7345977,8642699,5.802,1.214898262683914
85,Austria,AUT,2016,0.493283309,19.75841914,105.8733398,8736668,6.064,1.144601122533213
86,Austria,AUT,2017,0.45975099,19.59894064,106.6113185,8797566,5.561,1.1935119327323036
87,Austria,AUT,2018,0.49583122,19.4423168,107.1318589,8840521,4.933,0.9049240423726157
88,Austria,AUT,2019,0.47539301,19.53132113,107.6093068,8879920,4.56,1.1824430850728385
89,Austria,AUT,2020,0.499147868,21.15293402,108.0570044,8916864,5.201,0.5607352540085841
90,Austria,AUT,2021,0.499147868,21.73176561,108.5288051,8955797,6.459,1.1724249667561693
91,Austria,AUT,2022,0.499147868,20.55248881,109.5716311,9041851,4.992,0.9953714123358149
92,Austria,AUT,2023,0.499147868,20.46541252,109.5716311,9131761,5.264,0.9855711291611771
93,Azerbaijan,AZE,2015,1.746208097,12.40823832,116.7310768,9649341,4.96,0.9845231917910249
94,Azerbaijan,AZE,2016,1.703950504,12.83206344,118.033289,9757812,5,1.178542894657122
95,Azerbaijan,AZE,2017,1.681642514,11.34141244,119.2087416,9854033,5,1.1162942117202164
96,Azerbaijan,AZE,2018,1.653595961,10.46646357,120.2575919,9939771,4.9,2.967875215636256
97,Azerbaijan,AZE,2019,1.640579453,11.12347093,121.2800711,10024283,5,3.890552571191376
98,Azerbaijan,AZE,2020,1.57755592,16.21894208,122.1247368,10093121,7.24,1.9815476303117738
99,Azerbaijan,AZE,2021,1.57755592,13.86744232,122.6588022,10137750,6.04,5.080022687479963
100,Azerbaijan,AZE,2022,1.57755592,11.64214799,122.7072716,10141756,5.65,3.451078886141611
101,Azerbaijan,AZE,2023,1.57755592,14.01295064,122.7072716,10153958,5.636,2.4128522099461116
102,"Bahamas, The",BHS,2015,0.591662115,11.52939967,38.4961039,385346,12,16.86795762769044
103,"Bahamas, The",BHS,2016,0.58503481,10.84196814,38.76673327,388055,12.7,20.61563438172424
104,"Bahamas, The",BHS,2017,0.444503712,11.91170822,39.00949051,390485,9.8,32.01147291189162
105,"Bahamas, The",BHS,2018,0.570813849,11.42218488,39.23246753,392717,10,45.83453224586662
106,"Bahamas, The",BHS,2019,0.869531192,12.57509872,39.42807193,394675,9.336,53.208335972635716
107,"Bahamas, The",BHS,2020,0.917380695,18.48326003,39.54675325,395863,12.027,25.261264629429878
108,"Bahamas, The",BHS,2021,0.917380695,14.78771033,39.5977023,396373,11.032,93.34641865111902
109,"Bahamas, The",BHS,2022,0.917380695,13.30349259,39.71408591,397538,9.272,67.91803550855516
110,"Bahamas, The",BHS,2023,0.917380695,12.95811975,39.71408591,399440,8.643,101.39194872821952
111,Bahrain,BHR,2015,2.503528225,16.88445926,1761.339332,1370322,1.16,1.824388720315371
112,Bahrain,BHR,2016,2.376425275,16.27798917,1827.632863,1423726,1.192,0.3511911702111221
113,Bahrain,BHR,2017,2.181641145,15.85287308,1924.507692,1501116,1.194,1.6654275885407923
114,Bahrain,BHR,2018,2.209787055,15.55913739,1931.993573,1503091,1.2,2.3285349988789767
115,Bahrain,BHR,2019,2.239037261,14.99414782,1902.251282,1483756,1.223,1.684913153
116,Bahrain,BHR,2020,2.315305633,16.55560874,1875.419108,1472204,1.781,0.33962684519264996
117,Bahrain,BHR,2021,2.315305633,15.20833659,1904.259494,1504365,1.541,0.3323661478431099
118,Bahrain,BHR,2022,2.315305633,13.62706909,1929.991139,1524693,1.326,0
119,Bahrain,BHR,2023,2.315305633,14.64934552,1929.991139,1577059,1.154,0
120,Bangladesh,BGD,2015,0.356826341,5.404240381,1224.423285,159383179,4.396,2.0767561676003465
121,Bangladesh,BGD,2016,0.352791753,5.865298315,1235.399339,160811932,4.35,2.008557425
122,Bangladesh,BGD,2017,0.334100479,6.02233216,1245.956419,162186147,4.372,1.9668757529581118
123,Bangladesh,BGD,2018,0.335337125,5.959166931,1256.227264,163523103,4.407,1.9569100275696212
124,Bangladesh,BGD,2019,0.327972652,6.238189406,1266.905239,164913055,4.441,2.0616924475748752
125,Bangladesh,BGD,2020,0.322392964,5.971207292,1277.544934,166298024,5.436,0.9801679904506863
126,Bangladesh,BGD,2021,0.322392964,5.882748688,1287.999186,167658854,5.327,1.7923300370405728
127,Bangladesh,BGD,2022,0.322392964,5.698999556,1301.2591,169384897,4.593,2.3969079132244007
128,Bangladesh,BGD,2023,0.322392964,5.665169627,1301.2591,171466990,4.454,2.9305932296356283
129,Barbados,BRB,2015,0.413475225,0,648.8139535,278990,9.803,51.97318900319008
130,Barbados,BRB,2016,0.407239517,0,650.227907,279598,8.247,48.28360717887825
131,Barbados,BRB,2017,0.663327916,0,651.5604651,280171,8.622,67.81572682397537
132,Barbados,BRB,2018,0.405496134,0,652.8162791,280711,8.322,64.12288795237806
133,Barbados,BRB,2019,0.670124509,0,653.9697674,281207,8.412,92.45858033405997
134,Barbados,BRB,2020,0.678983426,0,655.1116279,281698,9.777,44.37376197204098
135,Barbados,BRB,2021,0.678983426,0,656.155814,282147,9.433,90.37841975991239
136,Barbados,BRB,2022,0.678983426,0,656.5534884,282318,8.365,67.29999504
