index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
423,Denmark,2017,10.6,84.5806,24.44966226,0,4.681
424,Denmark,2018,10.6,85.17028,24.38110739,0,4.08
425,Denmark,2019,10.5,85.28856,24.20477676,0,4.119
426,Denmark,2020,10.4,85.28856,24.67998753,0,4.775
427,Denmark,2021,10.8,85.28856,23.84555019,0,4.46
428,Denmark,2022,9.9,85.28856,21.68108442,0,3.739
429,Denmark,2023,9.9,85.28856,22.48152477,0,4.563
430,Djibouti,2015,23.889,44.26206,19.91112023,0,0
431,Djibouti,2016,23.516,47.15118,22.22990771,0,0
432,Djibouti,2017,23.276,50.88048,21.77355362,0,27.474
433,Djibouti,2018,22.982,58.38141,21.3501237,0,27.474
434,Djibouti,2019,22.748,60.49674,19.8109452,0,27.474
435,Djibouti,2020,22.477,60.49674,19.58828598,0,27.474
436,Djibouti,2021,22.205,60.49674,18.18360517,0,27.474
437,Djibouti,2022,21.911,60.49674,15.10796467,0,27.474
438,Djibouti,2023,21.911,60.49674,14.48944317,0,27.474
439,Dominica,2015,13.447,61.48672,21.34877636,0,0
440,Dominica,2016,13.167,61.23575,19.08189893,0,0
441,Dominica,2017,13.13,61.66778,24.07842692,0,0
442,Dominica,2018,13.191,60.54557,27.39071221,0,0
443,Dominica,2019,13.272,60.54797,27.39071221,0,0
444,Dominica,2020,13.301,60.54797,27.39071221,0,0
445,Dominica,2021,13.326,60.54797,27.39071221,0,0
446,Dominica,2022,13.278,60.54797,27.39071221,0,0
447,Dominica,2023,13.278,60.54797,27.39071221,0,0
448,Dominican Republic,2015,20.596,57.90154,10.28874596,0,11.513
449,Dominican Republic,2016,20.258,57.699,10.3026904,11.24888,10.206
450,Dominican Republic,2017,19.993,59.12432,10.93864349,11.24888,8.128
451,Dominican Republic,2018,19.762,59.32073,10.85985699,11.24888,9.621
452,Dominican Republic,2019,19.291,59.98867,11.06879727,11.24888,9.785
453,Dominican Republic,2020,18.78,59.98867,12.62661536,11.24888,9.02
454,Dominican Republic,2021,18.432,59.98867,11.46511231,11.24888,10.623
455,Dominican Republic,2022,18.111,59.98867,11.34424686,11.24888,7.754
456,Dominican Republic,2023,18.111,59.98867,11.29002941,11.24888,7.326
457,Ecuador,2015,18.74,57.10316,15.37381437,0,5.867
458,Ecuador,2016,18.224,57.52173,15.6897053,0,7.301
459,Ecuador,2017,17.996,57.49538,15.29753478,0,5.965
460,Ecuador,2018,17.658,57.6141,15.55676077,0,5.653
461,Ecuador,2019,17.338,57.7227,15.18407744,0,6.231
462,Ecuador,2020,17.037,57.7227,16.32258693,0,6.231
463,Ecuador,2021,16.817,57.7227,14.34917346,0,6.731
464,Ecuador,2022,16.583,57.7227,13.40226735,0,5.574
465,Ecuador,2023,16.583,57.7227,13.9198908,0,5.092
466,"Egypt, Arab Rep.",2015,28.078,54.70209,11.75989198,0,16.667
467,"Egypt, Arab Rep.",2016,25.913,55.47428,11.42688418,0.89992,15.906
468,"Egypt, Arab Rep.",2017,25.231,55.79763,9.579036626,0.89992,15.672
469,"Egypt, Arab Rep.",2018,24.562,58.51399,7.942222794,0.89992,10.475
470,"Egypt, Arab Rep.",2019,23.568,60.05364,7.285561115,0.89992,11.144
471,"Egypt, Arab Rep.",2020,23.051,60.05364,7.53990183,0.89992,7.291
472,"Egypt, Arab Rep.",2021,22.558,60.05364,7.558043553,0.89992,7.039
473,"Egypt, Arab Rep.",2022,22.107,60.05364,7.268090532,0.89992,6.804
474,"Egypt, Arab Rep.",2023,22.107,60.05364,6.786901187,0.89992,6.085
475,El Salvador,2015,18.406,62.40213,16.49744179,0,5.813
476,El Salvador,2016,17.566,62.65253,16.31643933,16.47714,6.846
477,El Salvador,2017,16.974,64.70983,16.1331092,16.47714,6.794
478,El Salvador,2018,16.536,64.92118,16.10965822,16.5,5.968
479,El Salvador,2019,16.416,65.25247,16.03202096,16.5,6.183
480,El Salvador,2020,16.188,65.25247,19.69685236,16.5,8.125
481,El Salvador,2021,16.025,65.25247,19.34677173,16.5,6.169
482,El Salvador,2022,15.803,65.25247,17.95190335,16.5,3.978
483,El Salvador,2023,15.803,65.25247,18.01166641,16.5,4.449
484,Equatorial Guinea,2016,34.392,38.4902,25.32732608,0,0
485,Equatorial Guinea,2017,33.507,40.26392,23.69493699,0,0
486,Equatorial Guinea,2018,32.667,40.53653,23.52783741,0,0
487,Equatorial Guinea,2019,31.874,41.05286,25.46067199,0,0
488,Equatorial Guinea,2020,31.174,41.05286,28.43493158,0,0
489,Equatorial Guinea,2021,30.498,41.05286,25.4888078,0,0
490,Equatorial Guinea,2022,29.865,41.05286,22.16206653,0,0
491,Equatorial Guinea,2023,29.865,41.05286,26.20338256,0,0
492,Eritrea,2015,30.417,20.92479,0,0,0
493,Eritrea,2016,29.91,20.94464,0,0,0
494,Eritrea,2017,29.421,21.37138,0,0,0
495,Eritrea,2018,29.105,21.50372,0,0,0
496,Eritrea,2019,28.941,21.5998,0,0,0
497,Eritrea,2020,28.706,21.5998,0,0,0
498,Eritrea,2021,28.624,21.5998,0,0,0
499,Eritrea,2022,28.426,21.5998,0,0,0
500,Eritrea,2023,28.426,21.5998,0,0,0
501,Estonia,2015,10.6,80.53864,19.22326451,0,6.927
502,Estonia,2016,10.7,80.7042,19.3323941,0,7.797
503,Estonia,2017,10.5,80.76691,18.87498165,0,6.631
504,Estonia,2018,10.9,80.79339,18.76285059,0,5.682
505,Estonia,2019,10.6,80.61685,19.08193305,0,4.795
506,Estonia,2020,9.9,80.61685,20.50868922,0,7.425
507,Estonia,2021,10,80.61685,19.81568681,0,6.854
508,Estonia,2022,8.6,80.61685,19.29130867,0,5.895
509,Estonia,2023,8.6,80.61685,20.64359756,0,7.43
510,Ethiopia,2015,33.428,43.78485,9.013788576,0,0
511,Ethiopia,2016,33.315,44.06311,11.1344515,67.40962,0
512,Ethiopia,2017,33.059,46.14583,11.10920751,67.40962,0
513,Ethiopia,2018,32.996,47.0561,10.25048168,64.31438,0
514,Ethiopia,2019,33.123,47.97613,9.193046848,64.31438,0
515,Ethiopia,2020,32.78,47.97613,9.129475484,64.31438,0
516,Ethiopia,2021,32.383,47.97613,8.835824527,64.31438,7.677
517,Ethiopia,2022,31.835,47.97613,7.361732918,64.31438,7.677
518,Ethiopia,2023,31.835,47.97613,6.318362067,64.31438,7.677
519,Fiji,2015,21.45,62.79354,20.15279867,0,0
520,Fiji,2016,21.05,61.26819,18.94105122,9.4,5.545
521,Fiji,2017,20.55,61.34481,19.28052761,9.4,5.545
522,Fiji,2018,20.187,61.38188,20.39188402,9.4,5.545
523,Fiji,2019,19.962,61.47892,21.2424353,9.4,5.545
524,Fiji,2020,19.628,61.47892,23.6332493,9.4,5.545
525,Fiji,2021,19.345,61.47892,23.60717884,9.4,5.545
526,Fiji,2022,19.131,61.47892,20.50887553,9.4,5.545
527,Fiji,2023,19.131,61.47892,20.50887553,9.4,5.545
528,Finland,2015,10.1,80.10477,24.52281723,0,10.156
529,Finland,2016,9.6,80.09777,23.86877251,0,9.564
530,Finland,2017,9.1,79.98436,22.94909793,0,9.522
531,Finland,2018,8.6,80.04165,23.05513033,0,7.86
532,Finland,2019,8.3,80.17834,23.31857554,0,7.26
533,Finland,2020,8.4,80.17834,24.42054766,0,8.396
534,Finland,2021,9,80.17834,24.7953884,0,8.384
535,Finland,2022,8.1,80.17834,24.15002029,0,7.494
536,Finland,2023,8.1,80.17834,25.57551588,0,7.639
537,France,2015,12,76.14755,23.77576177,0,10.799
538,France,2016,11.8,76.25038,23.75694232,0,10.663
539,France,2017,11.5,76.01011,23.7013842,0,10.071
540,France,2018,11.3,76.77957,23.35007584,0,9.654
541,France,2019,11.2,76.80465,23.03484227,0,9.145
542,France,2020,10.9,76.80465,24.83983574,0,8.854
543,France,2021,11,76.80465,24.35159842,0,8.48
544,France,2022,10.6,76.80465,23.86136358,0,8.17
545,France,2023,10.6,76.80465,23.12356061,0,8.074
546,French Polynesia,2022,12.55,0,31.69070118,0,0
547,Gabon,2015,31.036,44.02055,14.81639805,0,0
548,Gabon,2016,30.362,43.74227,14.64120171,44.33265,0
549,Gabon,2017,29.713,44.68792,13.23170516,44.33265,0
550,Gabon,2018,29.004,44.49778,10.56580371,44.33265,0
551,Gabon,2019,28.354,45.0251,10.99342929,44.33265,0
552,Gabon,2020,27.695,45.0251,13.1475546,44.33265,0
553,Gabon,2021,27.142,45.0251,11.81726401,44.33265,0
554,Gabon,2022,26.803,45.0251,10.80697157,44.33265,0
555,Gabon,2023,26.803,45.0251,11.46611969,44.33265,0
556,"Gambia, The",2015,37.576,46.23324,8.326579387,0,0
557,"Gambia, The",2016,36.59,47.75618,8.446617063,42.49858,0
558,"Gambia, The",2017,35.743,47.75707,7.866855086,42.49858,0
559,"Gambia, The",2018,34.924,47.82604,6.824780047,40.69583,9.833
560,"Gambia, The",2019,34.281,50.29381,8.242884235,40.69583,9.833
561,"Gambia, The",2020,33.719,50.29381,8.991768097,38.89309,9.833
562,"Gambia, The",2021,33.257,50.29381,9.758037143,38.89309,9.833
563,"Gambia, The",2022,32.696,50.29381,8.362463195,38.89309,9.833
564,"Gambia, The",2023,32.696,50.29381,7.37283089,38.89309,11.404
565,Georgia,2015,15.79,78.30005,14.60965816,0,15.598
566,Georgia,2016,15.471,80.79351,15.18576943,8.61301,15.185
567,Georgia,2017,14.856,83.01189,13.89123391,8.61301,13.49
568,Georgia,2018,14.395,83.4992,13.28869264,7.84604,12.831
569,Georgia,2019,13.451,83.73393,13.14428367,7.84604,11.798
570,Georgia,2020,12.966,83.73393,14.6114698,7.07908,11.312
571,Georgia,2021,13.412,83.73393,14.12665948,7.07908,11.312
572,Georgia,2022,13.099,83.73393,12.52938293,7.07908,11.312
573,Georgia,2023,13.099,83.73393,12.14854588,7.07908,11.312
574,Germany,2015,9,79.5005,19.31223567,0,4.231
575,Germany,2016,9.6,79.5543,19.51907162,0,3.656
576,Germany,2017,9.5,79.34962,19.45954952,0,3.301
577,Germany,2018,9.5,79.34794,19.50223396,0,2.856
578,Germany,2019,9.4,79.71004,19.90302358,0,2.705
579,Germany,2020,9.3,79.71004,21.73132113,0,3.2
580,Germany,2021,9.6,79.71004,21.67421922,0,3.097
581,Germany,2022,8.8,79.71004,21.52132731,0,2.704
582,Germany,2023,8.8,79.71004,21.22872741,0,2.571
583,Ghana,2015,31.713,56.99383,7.680490857,0,14.225
584,Ghana,2016,30.527,58.03559,7.886931128,33.48685,14.225
585,Ghana,2017,28.978,58.37525,6.957052131,33.48685,6.803
586,Ghana,2018,29.025,60.43442,7.104780398,33.48685,6.803
587,Ghana,2019,28.572,59.96017,7.04320381,33.48685,6.803
588,Ghana,2020,28.038,59.96017,7.833410156,33.48685,6.803
589,Ghana,2021,27.548,59.96017,8.005653088,33.48685,3.871
590,Ghana,2022,27.08,59.96017,6.652534328,33.48685,5.999
591,Ghana,2023,27.08,59.96017,5.866963029,33.48685,5.999
592,Greece,2015,8.5,66.92296,20.76798375,0,27.639
593,Greece,2016,8.6,67.08976,20.61806031,0,26.108
594,Greece,2017,8.2,67.11485,20.43841265,0,23.844
595,Greece,2018,8.1,67.40997,19.65971045,0,21.605
596,Greece,2019,7.8,68.42391,19.97912045,0,19.233
597,Greece,2020,7.9,68.42391,22.72749406,0,18.182
598,Greece,2021,8.1,68.42391,21.49743856,0,16.986
599,Greece,2022,7.3,68.42391,19.98568756,0,14.506
600,Greece,2023,7.3,68.42391,19.28684397,0,12.816
601,Grenada,2015,17.605,53.57188,0,0,0
602,Grenada,2016,17.419,53.41014,0,0,0
603,Grenada,2017,17.191,53.30874,0,0,0
604,Grenada,2018,16.92,53.37453,0,0,13.718
605,Grenada,2019,16.617,53.44488,0,0,10.077
606,Grenada,2020,16.288,53.44488,0,0,15.636
607,Grenada,2021,15.961,53.44488,0,0,14.853
608,Grenada,2022,15.616,53.44488,0,0,14.853
609,Grenada,2023,15.616,53.44488,0,0,7.283
610,Guatemala,2015,25.834,61.68036,11.08810853,0,6.382
611,Guatemala,2016,25.541,61.95631,10.44035279,37.60292,5.956
612,Guatemala,2017,24.791,61.52534,10.57282301,37.60292,5.466
613,Guatemala,2018,23.929,62.53299,11.12025855,37.6,5.183
614,Guatemala,2019,22.858,62.59562,11.10700482,37.6,4.568
615,Guatemala,2020,21.816,62.59562,11.47197049,37.6,4.568
616,Guatemala,2021,21.12,62.59562,11.22933787,37.6,4.084
617,Guatemala,2022,20.861,62.59562,11.47554247,37.6,6.599
618,Guatemala,2023,20.861,62.59562,11.23045777,37.6,3.817
619,Guinea,2015,37.891,44.33462,19.50189558,0,0
620,Guinea,2016,37.396,45.97639,16.88354502,47.33878,0
621,Guinea,2017,36.625,46.71106,15.27602158,47.33878,0
622,Guinea,2018,35.931,49.26216,15.48190477,48.17296,0
623,Guinea,2019,35.436,49.42922,15.40232525,48.17296,18.253
624,Guinea,2020,34.944,49.42922,17.41322372,49.00714,18.253
625,Guinea,2021,34.425,49.42922,17.48203055,49.00714,18.253
626,Guinea,2022,33.855,49.42922,17.12082103,49.00714,18.253
627,Guinea,2023,33.855,49.42922,13.61812841,49.00714,18.253
628,Guinea-Bissau,2015,35.519,40.43484,15.19235935,0,0
629,Guinea-Bissau,2016,34.502,42.79794,15.22583548,68.0291,0
630,Guinea-Bissau,2017,33.285,42.91537,15.59457936,68.0291,0
631,Guinea-Bissau,2018,32.657,43.19038,16.54218702,64.41973,3.147
632,Guinea-Bissau,2019,32.093,43.23319,18.7929536,64.41973,11.397
633,Guinea-Bissau,2020,31.605,43.23319,20.15111144,60.81037,11.397
634,Guinea-Bissau,2021,31.087,43.23319,19.76717604,60.81037,11.397
635,Guinea-Bissau,2022,30.611,43.23319,19.90644732,60.81037,7.134
636,Guinea-Bissau,2023,30.611,43.23319,16.41324592,60.81037,7.134
637,Guyana,2015,21.31,50.96896,0,0,0
638,Guyana,2016,21.139,56.35643,0,15.43465,0
639,Guyana,2017,20.958,56.75682,0,15.43465,0
640,Guyana,2018,20.77,55.59359,0,13.78743,16.171
641,Guyana,2019,20.828,55.49196,0,13.78743,16.096
642,Guyana,2020,20.473,55.49196,0,12.1402,16.096
643,Guyana,2021,20.298,55.49196,0,12.1402,16.096
644,Guyana,2022,19.897,55.49196,0,12.1402,16.096
645,Guyana,2023,19.897,55.49196,0,12.1402,16.096
646,Haiti,2015,25.51,37.67892,8.257802912,0,0
647,Haiti,2016,25.254,37.73652,8.209290174,50.83825,0
648,Haiti,2017,24.98,37.74675,7.897687461,50.83825,0
649,Haiti,2018,24.579,37.85895,8.263430719,49.53262,0
650,Haiti,2019,24.304,40.72493,7.191351147,49.53262,0
651,Haiti,2020,23.936,40.72493,7.312055571,48.9,0
652,Haiti,2021,23.498,40.72493,7.472955798,48.9,0
653,Haiti,2022,23.146,40.72493,6.904137934,48.9,0
654,Haiti,2023,23.146,40.72493,6.216791901,48.9,0
655,Honduras,2015,22.751,56.12768,14.30524677,0,12.403
656,Honduras,2016,22.44,55.73586,14.11393609,31.5,12.489
657,Honduras,2017,22.16,55.88601,13.49841646,31.5,10.992
658,Honduras,2018,21.895,55.97099,13.46225149,31.5,10.342
659,Honduras,2019,21.628,56.26791,13.87903455,31.5,10.579
660,Honduras,2020,21.353,56.26791,15.66110691,31.5,10.579
661,Honduras,2021,21.071,56.26791,15.67403086,31.5,9.625
662,Honduras,2022,20.85,56.26791,14.27609386,31.5,11.138
663,Honduras,2023,20.85,56.26791,14.42113592,31.5,9.209
664,"Hong Kong SAR, China",2015,8.2,84.32249,9.642869056,0,3.371
665,"Hong Kong SAR, China",2016,8.3,84.76059,9.956363893,0,3.506
666,"Hong Kong SAR, China",2017,7.6,85.04858,9.830272171,0,3.297
667,"Hong Kong SAR, China",2018,7.2,85.08628,9.925129495,0,2.949
668,"Hong Kong SAR, China",2019,7,85.3154,10.8764361,0,2.865
669,"Hong Kong SAR, China",2020,5.8,85.3154,12.74582899,0,6.105
670,"Hong Kong SAR, China",2021,5,85.3154,12.67762981,0,5.533
671,"Hong Kong SAR, China",2022,4.4,85.3154,14.33694283,0,4.615
672,"Hong Kong SAR, China",2023,4.4,85.3154,13.26253915,0,2.998
673,Hungary,2015,9.4,71.06578,19.7138882,0,6.401
674,Hungary,2016,9.7,71.3825,19.96110606,7.2,4.76
675,Hungary,2017,9.7,72.6828,20.19282003,7.2,3.745
676,Hungary,2018,9.6,73.23963,19.69256484,7.2,3.346
677,Hungary,2019,9.5,73.41584,20.0857248,7.2,3.019
678,Hungary,2020,9.6,73.41584,21.35886541,7.2,4.116
679,Hungary,2021,9.7,73.41584,20.89843457,7.2,3.942
680,Hungary,2022,9.3,73.41584,20.63735659,7.2,3.306
681,Hungary,2023,9.3,73.41584,20.03210207,7.2,3.831
682,Iceland,2015,12.5,78.97419,23.42735463,0,3.354
683,Iceland,2016,12,79.00524,23.00974929,0,3.073
684,Iceland,2017,11.9,78.99464,23.67726419,0,2.423
685,Iceland,2018,12,79.011,24.14720819,0,2.284
686,Iceland,2019,12.3,78.96154,24.58737631,0,3.334
687,Iceland,2020,12.3,78.96154,28.07058644,0,5.534
688,Iceland,2021,13.1,78.96154,27.33862963,0,5.883
689,Iceland,2022,11.5,78.96154,25.55516493,0,3.165
690,Iceland,2023,11.5,78.96154,25.41961404,0,3.058
691,India,2015,18.765,54.52099,10.42829071,0,0
692,India,2016,18.514,55.94046,10.30854807,49.70906,0
693,India,2017,17.911,60.9076,10.76719895,49.70906,0
694,India,2018,17.651,67.49639,10.82321853,49.01085,12.343
695,India,2019,17.049,71.04511,11.00267551,49.01085,10.309
696,India,2020,16.572,71.04511,11.61245241,49.01085,11.635
697,India,2021,16.419,71.04511,10.47637824,49.01085,9.571
698,India,2022,16.267,71.04511,10.70013506,49.01085,8.06
699,India,2023,16.267,71.04511,10.39072697,49.01085,5.991
700,Indonesia,2015,18.448,62.11215,9.74941377,0,8.476
701,Indonesia,2016,18.017,64.66011,9.52781009,21.89212,7.536
702,Indonesia,2017,17.519,66.86799,9.120571152,21.89212,6.948
703,Indonesia,2018,17.179,68.184,9.021231804,20.23793,7.712
704,Indonesia,2019,16.91,69.57879,8.808471291,20.23793,6.209
705,Indonesia,2020,16.649,69.57879,9.655750531,19.41083,7.269
706,Indonesia,2021,16.425,69.57879,9.246941615,19.41083,6.704
707,Indonesia,2022,16.196,69.57879,7.683280589,19.41083,6.269
708,Indonesia,2023,16.196,69.57879,7.445394045,19.41083,5.792
709,"Iran, Islamic Rep.",2015,19.428,55.37743,15.56882322,0,11.765
710,"Iran, Islamic Rep.",2016,19.017,55.70786,15.78069475,0,13.428
711,"Iran, Islamic Rep.",2017,18.608,55.69678,16.06231264,0,13.428
712,"Iran, Islamic Rep.",2018,17.231,58.63915,15.74716889,0,12.676
713,"Iran, Islamic Rep.",2019,15.118,58.54658,15.30027571,0,11.264
714,"Iran, Islamic Rep.",2020,14.231,58.54658,14.43166798,0,10.288
715,"Iran, Islamic Rep.",2021,13.699,58.54658,14.23357659,0,10.033
716,"Iran, Islamic Rep.",2022,13.242,58.54658,12.73218238,0,9.507
717,"Iran, Islamic Rep.",2023,13.242,58.54658,12.87921169,0,9.507
718,Iraq,2015,31.593,42.86367,18.66609857,0,0
719,Iraq,2016,30.17,44.14072,18.38922825,46.24999,0
720,Iraq,2017,28.923,44.61783,16.30525167,46.24999,0
721,Iraq,2018,28.429,44.65481,15.87948985,47.79447,0
722,Iraq,2019,28.078,44.70443,19.31538644,47.79447,0
723,Iraq,2020,27.732,44.70443,22.50890882,49.33894,0
724,Iraq,2021,27.367,44.70443,17.71730836,49.33894,13.4
725,Iraq,2022,27.035,44.70443,15.65803401,49.33894,13.4
726,Iraq,2023,27.035,44.70443,15.65803401,49.33894,13.4
727,Ireland,2015,13.9,79.79674,12.10309936,0,12.401
728,Ireland,2016,13.4,80.10484,12.5240695,8.3,10.07
729,Ireland,2017,12.9,80.10187,11.92312678,8.3,8.427
730,Ireland,2018,12.5,79.58999,11.75349737,8.5,6.924
731,Ireland,2019,12,79.57614,11.81450312,8.5,5.952
732,Ireland,2020,11.2,79.57614,12.60673881,8.5,6.903
733,Ireland,2021,12,79.57614,11.68537011,8.5,8.155
734,Ireland,2022,11.2,79.57614,11.06084836,8.5,5.114
735,Ireland,2023,11.2,79.57614,12.16909505,8.5,4.929
736,Israel,2015,21.3,72.99577,21.97179897,0,5.581
737,Israel,2016,21.2,74.20098,21.98086513,0,5.04
738,Israel,2017,21.1,74.34011,22.14042092,0,4.604
739,Israel,2018,20.8,74.98013,22.44007838,0,4.44
740,Israel,2019,20.1,76.67572,22.19180814,0,4.197
741,Israel,2020,19.2,76.67572,23.31821142,0,4.752
742,Israel,2021,19.7,76.67572,22.12724926,0,5.5
743,Israel,2022,19,76.67572,20.89307071,0,4.204
744,Israel,2023,19,76.67572,22.2480354,0,3.751
745,Italy,2015,8,71.68638,19.01931349,0,11.388
746,Italy,2016,7.8,71.82565,18.92534428,0,11.078
747,Italy,2017,7.6,73.19206,18.74481583,0,10.466
748,Italy,2018,7.3,73.04291,18.81339072,0,10.115
749,Italy,2019,7,72.85055,18.5421072,0,9.437
750,Italy,2020,6.8,72.85055,20.56805703,0,8.736
751,Italy,2021,6.8,72.85055,19.19460405,0,9.203
752,Italy,2022,6.7,72.85055,18.79883222,0,7.753
753,Italy,2023,6.7,72.85055,17.78636048,0,7.396
754,Jamaica,2015,14.123,66.18983,13.81600155,0,0
755,Jamaica,2016,13.47,67.31221,13.83994662,0,11.992
756,Jamaica,2017,12.748,67.72419,13.38277859,0,9.788
757,Jamaica,2018,12.22,68.2738,13.4379512,0,7.405
758,Jamaica,2019,11.994,69.67997,13.58214167,0,6.713
759,Jamaica,2020,11.813,69.67997,13.58214167,0,6.377
760,Jamaica,2021,11.712,69.67997,13.58214167,0,6.808
761,Jamaica,2022,11.531,69.67997,13.58214167,0,5.476
762,Jamaica,2023,11.531,69.67997,13.58214167,0,4.038
763,Japan,2015,8,77.52941,19.61774414,0,4.02
764,Japan,2016,7.8,77.9374,19.6572481,0,3.7
765,Japan,2017,7.6,78.01404,19.41179555,0,3.39
766,Japan,2018,7.4,78.04159,19.56367433,0,3.1
767,Japan,2019,7,77.99983,19.94510592,0,2.87
768,Japan,2020,6.8,77.99983,20.96937394,0,3.21
769,Japan,2021,6.6,77.99983,21.26487183,0,3.21
770,Japan,2022,6.3,77.99983,21.5970196,0,3.21
771,Japan,2023,6.3,77.99983,21.5970196,0,3.21
772,Jordan,2015,24.441,56.73912,17.82326069,0,0
773,Jordan,2016,23.708,57.0245,17.25056419,21.381,0
774,Jordan,2017,23.377,59.92558,16.94537194,21.381,13.981
775,Jordan,2018,22.999,61.28281,16.74389605,19.05165,11.849
776,Jordan,2019,22.6,68.97453,16.37173776,19.05165,8.096
777,Jordan,2020,22.265,68.97453,16.54995644,16.72229,10.605
778,Jordan,2021,21.95,68.97453,15.8410812,16.72229,11.773
779,Jordan,2022,21.616,68.97453,15.8410812,16.72229,10.979
780,Jordan,2023,21.616,68.97453,15.8410812,16.72229,9.058
781,Kazakhstan,2015,22.71,70.91902,11.63272615,0,0
782,Kazakhstan,2016,22.52,74.84879,11.63085341,2.18578,0
783,Kazakhstan,2017,21.64,76.87746,10.53594178,2.18578,5.3
784,Kazakhstan,2018,21.77,78.04085,8.321200707,0.79376,5.3
785,Kazakhstan,2019,21.73,79.55915,9.132161576,0.79376,5.3
786,Kazakhstan,2020,22.76,79.55915,12.74204401,0.79376,5.3
787,Kazakhstan,2021,23.5,79.55915,11.27034704,0.79376,5.3
788,Kazakhstan,2022,20.57,79.55915,10.49926979,0.79376,5.3
789,Kazakhstan,2023,20.57,79.55915,11.11261577,0.79376,5.3
790,Kenya,2015,30.957,58.00993,12.72668008,0,0
791,Kenya,2016,30.401,62.79134,12.60976863,50.81331,4.173
792,Kenya,2017,29.755,65.40809,12.33507902,50.81331,4.173
793,Kenya,2018,29.18,70.97866,12.3486894,50.81331,4.173
794,Kenya,2019,28.46,73.21648,12.17079729,50.81331,8.137
795,Kenya,2020,27.998,73.21648,12.47765997,50.81331,8.137
796,Kenya,2021,27.685,73.21648,12.1468578,50.81331,7.981
797,Kenya,2022,27.54,73.21648,12.2133041,50.81331,7.981
798,Kenya,2023,27.54,73.21648,11.91511758,50.81331,7.981
799,Kiribati,2016,28.86,46.74575,59.35262929,0,9.844
800,Kiribati,2023,26.723,46.93884,61.52542461,0,14.164
801,"Korea, Dem. People's Rep.",2015,13.536,0,0,0,0
802,"Korea, Dem. People's Rep.",2016,13.525,0,0,0,0
803,"Korea, Dem. People's Rep.",2017,13.514,0,0,0,0
804,"Korea, Dem. People's Rep.",2018,13.488,0,0,0,0
805,"Korea, Dem. People's Rep.",2019,13.487,0,0,0,0
806,"Korea, Dem. People's Rep.",2020,13.333,0,0,0,0
807,"Korea, Dem. People's Rep.",2021,13.24,0,0,0,0
808,"Korea, Dem. People's Rep.",2022,13.058,0,0,0,0
809,"Korea, Dem. People's Rep.",2023,13.058,0,0,0,0
810,"Korea, Rep.",2015,8.6,83.08952,15.08352973,0,3.299
811,"Korea, Rep.",2016,7.9,83.96555,15.24002234,0,3.356
812,"Korea, Rep.",2017,7,83.96525,15.41897247,0,3.117
813,"Korea, Rep.",2018,6.4,83.96046,16.05172731,0,3.731
814,"Korea, Rep.",2019,5.9,84.00083,17.07786565,0,3.624
815,"Korea, Rep.",2020,5.3,84.00083,18.03934527,0,3.952
816,"Korea, Rep.",2021,5.1,84.00083,18.15980062,0,3.574
817,"Korea, Rep.",2022,4.9,84.00083,18.7672078,0,2.796
818,"Korea, Rep.",2023,4.9,84.00083,18.89855761,0,2.49
819,Kosovo,2015,13.614,63.02811,13.60809725,0,33.667
820,Kosovo,2016,12.848,64.90617,12.08481448,0,29.556
821,Kosovo,2017,12.615,70.51486,11.82295606,0,31.218
822,Kosovo,2018,12.094,71.04522,12.1025925,0,28.924
823,Kosovo,2019,11.443,73.18473,12.48543828,0,24.568
824,Kosovo,2020,11.181,73.18473,13.91317741,0,25.827
825,Kosovo,2021,11.143,73.18473,12.87233087,0,20.677
826,Kosovo,2022,11.068,73.18473,11.79172877,0,11.222
827,Kosovo,2023,11.068,73.18473,12.59933428,0,11.222
828,Kuwait,2015,16.892,60.65525,24.19181056,0,0
829,Kuwait,2016,14.8,59.96924,25.70546373,0,6.08
830,Kuwait,2017,14.386,61.78943,24.42126992,0,6.08
831,Kuwait,2018,13.443,62.56073,22.98055676,0,6.08
832,Kuwait,2019,12.437,67.40473,24.40265002,0,6.08
833,Kuwait,2020,11.797,67.40473,30.17793821,0,6.08
834,Kuwait,2021,10.41,67.40473,25.37266915,0,6.08
835,Kuwait,2022,9.727,67.40473,20.70004928,0,6.08
836,Kuwait,2023,9.727,67.40473,20.70004928,0,6.08
837,Kyrgyz Republic,2015,27.4,61.2702,17.7553733,0,7.33
838,Kyrgyz Republic,2016,26,61.31719,17.43415086,11.38314,7.27
839,Kyrgyz Republic,2017,24.8,62.35959,17.13017203,11.38314,6.86
840,Kyrgyz Republic,2018,27.1,65.41049,17.16970011,6.91123,6.2
841,Kyrgyz Republic,2019,26.9,67.82089,15.70098065,6.91123,6.2
842,Kyrgyz Republic,2020,24,67.82089,18.37228301,2.43932,6.2
843,Kyrgyz Republic,2021,22.4,67.82089,16.63294179,2.43932,6.2
844,Kyrgyz Republic,2022,21.5,67.82089,16.78566803,2.43932,6.2
845,Kyrgyz Republic,2023,21.5,67.82089,16.3621854,2.43932,6.2
846,Lao PDR,2015,24.445,48.20686,15.10665451,0,0
847,Lao PDR,2016,24.131,49.05728,13.97094291,27,0
848,Lao PDR,2017,23.715,49.98578,13.97094291,27,3.232
