index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
102,"Bahamas, The",2015,12.812,57.10881,11.52939967,0,0
103,"Bahamas, The",2016,12.188,56.94715,10.84196814,0,0
104,"Bahamas, The",2017,11.653,58.61968,11.91170822,0,0
105,"Bahamas, The",2018,11.566,59.38844,11.42218488,0,0
106,"Bahamas, The",2019,11.487,59.87155,12.57509872,0,9.77
107,"Bahamas, The",2020,11.49,59.87155,18.48326003,0,9.77
108,"Bahamas, The",2021,11.445,59.87155,14.78771033,0,9.77
109,"Bahamas, The",2022,11.379,59.87155,13.30349259,0,9.77
110,"Bahamas, The",2023,11.379,59.87155,12.95811975,0,9.774
111,Bahrain,2015,15.791,66.6415,16.88445926,0,0
112,Bahrain,2016,15.181,68.7147,16.27798917,0,0
113,Bahrain,2017,14.506,69.09366,15.85287308,0,0
114,Bahrain,2018,13.818,70.13951,15.55913739,0,0
115,Bahrain,2019,13.198,76.02665,14.99414782,0,0
116,Bahrain,2020,12.621,76.02665,16.55560874,0,0
117,Bahrain,2021,11.926,76.02665,15.20833659,0,0
118,Bahrain,2022,11.454,76.02665,13.62706909,0,0
119,Bahrain,2023,11.454,76.02665,14.64934552,0,0
120,Bangladesh,2015,19.158,40.90786,5.404240381,0,0
121,Bangladesh,2016,19.002,41.01625,5.865298315,53.15752,9.71
122,Bangladesh,2017,18.495,41.5632,6.02233216,53.15752,8.483
123,Bangladesh,2018,18.462,42.46602,5.959166931,52.51337,8.483
124,Bangladesh,2019,18.35,45.04865,6.238189406,52.51337,8.483
125,Bangladesh,2020,18.053,45.04865,5.971207292,51.86921,8.483
126,Bangladesh,2021,17.821,45.04865,5.882748688,51.86921,8.483
127,Bangladesh,2022,17.48,45.04865,5.698999556,51.86921,6.413
128,Bangladesh,2023,17.48,45.04865,5.665169627,51.86921,6.413
129,Barbados,2015,11.095,57.67895,0,0,10.628
130,Barbados,2016,11.009,57.76071,0,0,10.865
131,Barbados,2017,10.952,57.67127,0,0,10.059
132,Barbados,2018,10.913,57.6745,0,0,9.012
133,Barbados,2019,10.885,57.90615,0,0,9.781
134,Barbados,2020,10.859,57.90615,0,0,9.781
135,Barbados,2021,10.832,57.90615,0,0,13.024
136,Barbados,2022,10.783,57.90615,0,0,13.024
137,Barbados,2023,10.783,57.90615,0,0,13.024
138,Belarus,2015,12.5,68.72922,14.92158825,0,0
139,Belarus,2016,12.4,72.62337,15.65366671,5.33257,6.943
140,Belarus,2017,10.8,73.57749,15.65325113,5.33257,6.6
141,Belarus,2018,9.9,74.35306,15.73986266,3.80434,5.611
142,Belarus,2019,9.3,74.29113,16.84306624,3.80434,5.039
143,Belarus,2020,9.47,74.29113,16.96488803,2.27611,4.562
144,Belarus,2021,9.283,74.29113,16.81601547,2.27611,4.6
145,Belarus,2022,9.165,74.29113,17.22887773,2.27611,4.07
146,Belarus,2023,9.165,74.29113,18.0560138,2.27611,4
147,Belgium,2015,10.8,72.42806,23.68120364,0,8.699
148,Belgium,2016,10.8,72.4092,23.34989081,0,8.045
149,Belgium,2017,10.5,72.18146,23.11780233,0,7.517
150,Belgium,2018,10.4,74.74503,23.16961913,0,6.159
151,Belgium,2019,10.2,74.98904,23.00381128,0,5.659
152,Belgium,2020,9.9,74.98904,24.30080459,0,5.894
153,Belgium,2021,10.2,74.98904,23.84076461,0,6.984
154,Belgium,2022,9.8,74.98904,23.49303585,0,5.711
155,Belgium,2023,9.8,74.98904,23.77194415,0,6.249
156,Belize,2015,21.709,55.36697,17.19067053,0,9.765
157,Belize,2016,21.36,55.36968,18.12338184,15.73333,9.389
158,Belize,2017,21.129,55.27374,18.81922076,15.73333,9.604
159,Belize,2018,21.015,55.28901,19.40477488,15.72933,10.584
160,Belize,2019,18.886,55.47444,18.75811246,15.72933,10.102
161,Belize,2020,17.881,55.47444,17.32873192,15.72533,30.599
162,Belize,2021,17.976,55.47444,16.6904216,15.72533,30.599
163,Belize,2022,17.763,55.47444,15.80777743,15.72533,30.599
164,Belize,2023,17.763,55.47444,15.74601627,15.72533,30.599
165,Benin,2015,39.022,48.65854,11.41138015,0,0
166,Benin,2016,38.934,49.72104,10.28081876,68.71948,0
167,Benin,2017,38.678,51.57576,10.47898429,68.71948,0
168,Benin,2018,38.186,51.71272,10.41050539,68.3262,0
169,Benin,2019,37.675,52.40404,10.34206324,68.3262,2.985
170,Benin,2020,37.114,52.40404,11.39936215,67.93293,2.985
171,Benin,2021,36.608,52.40404,10.07596453,67.93293,2.985
172,Benin,2022,36.071,52.40404,10.05783925,67.93293,4.622
173,Benin,2023,36.071,52.40404,9.504197323,67.93293,4.622
174,Bermuda,2019,8.2,0,12.25672917,0,0
175,Bermuda,2020,8.4,0,12.72518214,0,0
176,Bermuda,2022,7.5,0,11.89194403,0,0
177,Bhutan,2015,17.152,64.86482,19.13387133,0,7.07
178,Bhutan,2016,16.076,64.99022,18.10532437,0,7.07
179,Bhutan,2017,14.912,65.7664,18.18510425,0,7.07
180,Bhutan,2018,13.789,65.96848,18.49492547,0,10.898
181,Bhutan,2019,12.871,65.97305,19.11774739,0,9.082
182,Bhutan,2020,12.65,65.97305,22.31535435,0,15.287
183,Bhutan,2021,12.482,65.97305,22.67222515,0,14.305
184,Bhutan,2022,12.332,65.97305,21.01733133,0,17.649
185,Bhutan,2023,12.332,65.97305,21.01733133,0,7.894
186,Bolivia,2015,23.74,49.75552,17.49525821,0,4.593
187,Bolivia,2016,23.355,50.2251,17.45825219,0,4.847
188,Bolivia,2017,22.986,50.97713,17.02164005,0,5.014
189,Bolivia,2018,22.634,51.5617,17.52564467,0,5.03
190,Bolivia,2019,22.323,51.65574,18.143092,0,5.163
191,Bolivia,2020,22.056,51.65574,19.73863444,0,10.702
192,Bolivia,2021,21.836,51.65574,19.33698457,0,6.782
193,Bolivia,2022,21.599,51.65574,19.08991604,0,4.917
194,Bolivia,2023,21.599,51.65574,19.28636427,0,4.037
195,Bosnia and Herzegovina,2015,8.842,64.1284,21.96980753,0,29.199
196,Bosnia and Herzegovina,2016,8.953,64.83564,20.90945001,4,26.179
197,Bosnia and Herzegovina,2017,9.02,65.24652,20.16533362,4,21.693
198,Bosnia and Herzegovina,2018,9.067,65.37254,19.65735729,4,18.902
199,Bosnia and Herzegovina,2019,8.819,65.44253,19.35897003,4,16.377
200,Bosnia and Herzegovina,2020,8.611,65.44253,20.75034602,4,16.223
201,Bosnia and Herzegovina,2021,8.42,65.44253,19.40152057,4,15.621
202,Bosnia and Herzegovina,2022,8.278,65.44253,18.6619176,4,13.058
203,Bosnia and Herzegovina,2023,8.278,65.44253,19.18011085,4,11.003
204,Botswana,2015,26.409,65.48306,31.63939897,0,0
205,Botswana,2016,26.13,65.64189,28.47572183,41.71139,0
206,Botswana,2017,25.672,65.71078,28.87808595,41.71139,0
207,Botswana,2018,25.328,66.17048,29.09851895,39.58877,0
208,Botswana,2019,24.887,66.1978,31.6419395,39.58877,24.728
209,Botswana,2020,24.195,66.1978,36.14305095,39.6,28.098
210,Botswana,2021,23.576,66.1978,31.52924105,39.6,29.354
211,Botswana,2022,23.036,66.1978,27.88729499,39.6,29.526
212,Botswana,2023,23.036,66.1978,28.94315219,39.6,29.242
213,Brazil,2015,14.727,55.61506,19.77681996,0,7.408
214,Brazil,2016,14.051,55.22357,20.37929743,14.8971,13.298
215,Brazil,2017,14.159,55.6207,20.1619047,14.8971,14.388
216,Brazil,2018,14.133,58.59449,19.89508778,14.8971,13.974
217,Brazil,2019,13.633,59.08307,19.98358129,14.8971,13.539
218,Brazil,2020,13.078,59.08307,20.13515302,14.8971,15.828
219,Brazil,2021,12.883,59.08307,18.54758836,14.8971,15.041
220,Brazil,2022,12.649,59.08307,18.40221272,14.8971,10.415
221,Brazil,2023,12.649,59.08307,18.2188135,14.8971,8.962
222,British Virgin Islands,2020,7.448,0,0,0,0
223,Brunei Darussalam,2015,16.546,57.45747,25.0616661,0,0
224,Brunei Darussalam,2016,16.054,62.85225,26.22317864,0,0
225,Brunei Darussalam,2017,15.544,67.68007,26.47724699,0,9.865
226,Brunei Darussalam,2018,15.05,69.63482,24.14172854,0,8.713
227,Brunei Darussalam,2019,14.585,70.06387,25.04039617,0,6.518
228,Brunei Darussalam,2020,14.165,70.06387,25.43098596,0,7.66
229,Brunei Darussalam,2021,13.8,70.06387,22.467059,0,4.863
230,Brunei Darussalam,2022,13.493,70.06387,20.12423823,0,4.757
231,Brunei Darussalam,2023,13.493,70.06387,22.81804665,0,4.633
232,Bulgaria,2015,9.2,72.46018,16.08914146,0,8.384
