index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
286,Canada,CAN,2016,7.038,0.339922338,21.04804019,36110803,4.027710725,2.3954050537175813
287,Canada,CAN,2017,6.426,0.357224065,20.70333139,36545075,4.076148363,2.626892953428061
288,Canada,CAN,2018,5.837,0.355052684,20.6814327,37072620,4.134989443,2.427667642589059
289,Canada,CAN,2019,5.69,0.346163249,20.66349609,37618495,4.195875007,2.7513062391251966
290,Canada,CAN,2020,9.657,0.351128167,22.70110776,38028638,4.241621355,1.3936865159357008
291,Canada,CAN,2021,7.527,0.351128167,21.44233714,38239864,4.351026204,3.0073328712675336
292,Canada,CAN,2022,5.279,0.351128167,20.69168862,38939056,4.430581997,2.4140287324890464
293,Canada,CAN,2023,5.415,0.351128167,21.20664975,40097761,4.430581997,2.8305819868595656
294,Central African Republic,CAF,2015,5.477,0.468458112,14.77679854,4629320,7.430928762,9.828657341
295,Central African Republic,CAF,2016,5.491,0.460022623,14.40810862,4713663,7.566315131,1.9093431159588625
296,Central African Republic,CAF,2017,5.534,0.444210494,14.06703431,4793511,7.694486179,4.798153169983338
297,Central African Republic,CAF,2018,5.517,0.553954333,7.700010003,4878657,7.831161514,5.021873847659305
298,Central African Republic,CAF,2019,5.607,0.538247316,8.044640002,4944703,7.937177759,7.583873086
299,Central African Republic,CAF,2020,6.196,0.533414412,9.677040002,5026628,8.068682783,2.0888754847185824
300,Central African Republic,CAF,2021,6.375,0.533414412,9.140750003,5112100,8.205881409,2.0539504313295907
301,Central African Republic,CAF,2022,5.956,0.533414412,8.335279997,5098039,8.183310861,17.555769973513346
302,Central African Republic,CAF,2023,5.877,0.533414412,8.335279997,5152421,8.183310861,6.598839652272204
303,Chad,TCD,2015,0.974,0.858551257,5.1450878,14647621,11.63248173,0.4778933043120108
304,Chad,TCD,2016,1.047,0.838978455,4.211686912,15114655,12.00337913,0.5954485894649928
305,Chad,TCD,2017,1.116,0.717549981,4.32522476,15622759,12.40689247,0.768110165
306,Chad,TCD,2018,1.135,0.655085839,3.603393277,16156531,12.83079018,1.2688367323406244
307,Chad,TCD,2019,1.084,0.867381762,3.587512578,16685223,13.25065359,1.1087655226424002
308,Chad,TCD,2020,1.707,0.845723178,4.73537683,17224679,13.67906528,0.29028117156784167
309,Chad,TCD,2021,1.548,0.845723178,4.683119932,17828273,14.15841248,1.2059496733082333
310,Chad,TCD,2022,1.096,0.845723178,4.050717028,18455316,14.65638183,1.3004383127333068
311,Chad,TCD,2023,1.074,0.845723178,4.209122449,19319064,14.65638183,1.2940585527331965
312,Chile,CHL,2015,6.313,1.220436746,13.59211772,18047625,24.27282888,1.412928293889085
313,Chile,CHL,2016,6.673,1.336349529,14.34266762,18267221,24.56817057,1.3685716070331662
314,Chile,CHL,2017,7.257,1.294571459,14.6487132,18558868,24.96041596,1.6703604982803908
315,Chile,CHL,2018,7.623,1.263455491,14.85647376,18893191,25.41005767,1.9583774916582382
316,Chile,CHL,2019,7.493,1.239361932,15.25395573,19197744,25.81966075,2.370070149909281
317,Chile,CHL,2020,10.934,1.279922684,16.02636187,19370624,26.0521726,1.6003614545406488
318,Chile,CHL,2021,9.281,1.279922684,14.72846244,19456334,26.16744673,3.9832786587648012
319,Chile,CHL,2022,8.249,1.279922684,14.67535232,19553036,26.29750434,3.119720129395762
320,Chile,CHL,2023,9.013,1.279922684,15.10268919,19658835,26.29750434,3.789644706820114
321,China,CHN,2015,4.65,0.363984597,16.21788677,1379860000,146.9779493,1.4548577391909325
322,China,CHN,2016,4.56,0.345100081,16.36375556,1387790000,147.8226414,1.9873323773769807
323,China,CHN,2017,4.47,0.345882346,16.32486222,1396215000,148.7200435,2.223869532987398
324,China,CHN,2018,4.31,0.346905339,16.53580834,1402760000,149.4171945,2.1864039465054605
325,China,CHN,2019,4.56,0.326705382,16.77051091,1407745000,149.9481797,2.2205726179102037
326,China,CHN,2020,5,0.331880099,17.13013339,1411100000,150.3055428,1.211111898518886
327,China,CHN,2021,4.55,0.331880099,15.8081384,1412360000,150.4397537,2.285182248152029
328,China,CHN,2022,4.98,0.331880099,16.05012775,1412175000,150.4200481,2.3304477136332253
329,China,CHN,2023,4.67,0.331880099,16.50931118,1410710000,150.4200481,2.3289691006656223
330,Colombia,COL,2015,8.572,2.023967375,14.81162979,46969940,42.33433078,4.641266307770459
331,Colombia,COL,2016,8.922,2.00693588,14.54128472,47437512,42.75575665,5.154148893812137
332,Colombia,COL,2017,9.086,1.973904571,14.88064263,48131078,43.38087247,4.633181081047052
333,Colombia,COL,2018,9.36,1.946027895,15.42148086,49024465,44.18608833,4.620142209
334,Colombia,COL,2019,10.28,1.923999076,15.77323342,49907985,44.982411,4.558388802914003
335,Colombia,COL,2020,15.983,1.701713279,17.15883586,50629997,45.63316539,3.0219239396755246
336,Colombia,COL,2021,13.898,1.701713279,16.04633106,51188173,46.13625327,7.921751769
337,Colombia,COL,2022,10.547,1.701713279,13.99818069,51737944,46.63176566,7.315713975800817
338,Colombia,COL,2023,9.594,1.701713279,14.75378039,52321152,46.63176566,8.887418992609337
339,Comoros,COM,2015,4.121,0,10.59190468,726682,390.4793122,0.6880588758218863
340,Comoros,COM,2016,4.104,0,10.61491606,741741,398.5711983,0
341,Comoros,COM,2017,4.03,0,10.82377663,756669,406.5926921,0
342,Comoros,COM,2018,3.942,0,10.22968894,771590,414.6104245,0
343,Comoros,COM,2019,3.934,0,10.0948841,786578,422.6641591,0
344,Comoros,COM,2020,4.471,0,10.5607884,802163,431.0386889,0
345,Comoros,COM,2021,4.394,0,10.14976369,818174,439.6421279,0
346,Comoros,COM,2022,3.816,0,9.61494799,834188,448.2471789,0.5993852704666095
347,Comoros,COM,2023,3.776,0,9.25201678,850387,448.2471789,0.5879675959298531
348,"Congo, Dem. Rep.",COD,2015,4.439,0.464494909,9.056194741,81035531,35.74492446,2.066994538482138
349,"Congo, Dem. Rep.",COD,2016,4.521,0.447871569,7.437957422,83956415,37.03333186,2.9658245888655443
350,"Congo, Dem. Rep.",COD,2017,4.601,0.430427249,5.45682326,87083398,38.41264992,2.7043042119233798
351,"Congo, Dem. Rep.",COD,2018,4.618,0.417298144,6.317593895,90047644,39.72018438,2.6485978911341643
352,"Congo, Dem. Rep.",COD,2019,4.591,0.404147494,6.929147319,92947442,40.99929071,2.4637579590409815
353,"Congo, Dem. Rep.",COD,2020,5.345,0.40789188,7.575638237,95989998,42.34136786,0.8959266776940655
354,"Congo, Dem. Rep.",COD,2021,5.28,0.40789188,8.261796258,99148932,43.73477956,1.8406653134700433
355,"Congo, Dem. Rep.",COD,2022,4.522,0.40789188,9.364668955,102396968,45.16749432,3.1788050599310713
356,"Congo, Dem. Rep.",COD,2023,4.484,0.40789188,7.933348098,105789731,45.16749432,5.024117132881262
357,"Congo, Rep.",COG,2015,19.978,0.594505285,19.30627143,5097581,14.92703075,2.6483149556623036
358,"Congo, Rep.",COG,2016,20.223,0.581345495,21.30852348,5222536,15.29293119,3.7338182063273475
359,"Congo, Rep.",COG,2017,20.611,0.567637832,18.08658621,5351011,15.66913909,2.9900891625900226
360,"Congo, Rep.",COG,2018,20.701,0.553700403,13.50410756,5483118,16.05598243,3.556370664
361,"Congo, Rep.",COG,2019,20.392,0,13.24087509,5616661,16.44703075,3.0267092851072905
362,"Congo, Rep.",COG,2020,22.198,0.535612424,17.4783555,5752791,16.84565447,1.3037150141557377
363,"Congo, Rep.",COG,2021,21.96,0.535612424,14.8705071,5892183,17.25383016,3.648902282906013
364,"Congo, Rep.",COG,2022,20.108,0.535612424,11.83679224,6035104,17.67233968,4.888068208932273
365,"Congo, Rep.",COG,2023,19.898,0.535612424,13.09930209,6182885,17.67233968,4.043419859822721
366,Costa Rica,CRI,2015,8.415,0.418028815,16.96024191,4818038,94.36032119,2.3868636984598295
367,Costa Rica,CRI,2016,8.085,0.433174252,16.70867908,4866998,95.31919311,2.773783757461992
368,Costa Rica,CRI,2017,7.729,0.434662226,16.35817465,4913177,96.22359969,2.747712936049322
369,Costa Rica,CRI,2018,9.01,0.412748309,16.19573389,4957818,97.09788484,3.227226171
370,Costa Rica,CRI,2019,10.807,0.394632057,16.75120098,4999553,97.91525656,3.700330809574376
371,Costa Rica,CRI,2020,16.432,0.413391572,17.70473207,5034320,98.59616138,1.9863655866134848
372,Costa Rica,CRI,2021,15.139,0.413391572,16.53079798,5059988,99.09886408,5.0395376431722765
373,Costa Rica,CRI,2022,11.325,0.413391572,15.39587873,5081765,99.52536232,3.738858447803076
374,Costa Rica,CRI,2023,8.325,0.413391572,14.87349346,5105525,99.52536232,5.092522316510055
375,Cote d'Ivoire,CIV,2015,2.579,0.256042029,9.347876,25246342,79.39101258,5.426528722458089
376,Cote d'Ivoire,CIV,2016,1.896,0.249668764,9.865195072,25989405,81.72768868,6.791228964264476
377,Cote d'Ivoire,CIV,2017,3.272,0.265216424,10.26838596,26733372,84.06720755,5.218196941261282
378,Cote d'Ivoire,CIV,2018,2.85,0.260870851,10.04734403,27464173,86.3653239,5.388838760955955
379,Cote d'Ivoire,CIV,2019,2.401,1.27342847,10.8276426,28193009,88.65726101,6.579645329804989
380,Cote d'Ivoire,CIV,2020,2.584,0.24837816,11.32160445,28915449,90.92908491,4.132738869107652
381,Cote d'Ivoire,CIV,2021,2.63,0.24837816,9.962659467,29639736,93.20671698,3.728103381217701
382,Cote d'Ivoire,CIV,2022,2.306,0.24837816,10.41704471,30395002,95.5817673,9.837143619862239
383,Cote d'Ivoire,CIV,2023,2.27,0.24837816,10.4890783,31165654,95.5817673,8.326473752
384,Croatia,HRV,2015,16.175,0.993991043,22.46152823,4151725,74.1856372,12.28405060547122
385,Croatia,HRV,2016,13.103,1.032830652,21.96633702,4106867,73.3840862,15.340160760014871
386,Croatia,HRV,2017,11.208,1.012851396,21.79820751,4041407,72.21440569,14.351437506789097
387,Croatia,HRV,2018,8.432,1.046226543,21.67398785,3988775,71.27394396,13.53799098720785
388,Croatia,HRV,2019,6.617,1.045603412,21.69431087,3949390,70.57018798,10.761155520219578
389,Croatia,HRV,2020,7.507,1.170877239,24.87982866,3914206,69.9464975,5.492812590854952
390,Croatia,HRV,2021,7.608,1.170877239,23.06666487,3878981,69.31703002,6.573891442108121
391,Croatia,HRV,2022,6.96,1.170877239,21.11216992,3855641,68.89994639,4.7981645594078906
392,Croatia,HRV,2023,6.086,1.170877239,21.28627613,3859686,68.89994639,3.756782287471053
393,Cuba,CUB,2015,2.4,1.45903052,32.20601197,11275065,108.3099424,7.405722272997983
394,Cuba,CUB,2016,2,1.458584883,31.89544698,11265612,108.2815456,9.852993339376502
395,Cuba,CUB,2017,1.7,1.469797309,30.83820304,11247829,108.3605877,7.868185051533056
396,Cuba,CUB,2018,1.7,1.474388895,30.04496667,11227118,108.1610597,6.947464167
397,Cuba,CUB,2019,1.705,1.483681553,32.23220881,11202846,107.9272254,5.355781914702746
398,Cuba,CUB,2020,2.24,1.571367046,38.8479746,11176354,107.6720039,3.668459320454595
399,Cuba,CUB,2021,2.116,1.571367046,33.82647562,11122168,107.1499807,6.203826448224843
400,Cuba,CUB,2022,1.82,1.571367046,32.53303418,11059820,106.5493256,7.459434240340259
401,Cuba,CUB,2023,1.719,1.571367046,32.53303418,11019931,106.5493256,9.437445660957406
402,Curacao,CUW,2021,0,0,14.47828743,152369,343.1734234,0
403,Cyprus,CYP,2015,15.026,1.939467323,16.60931001,1219502,131.9807359,1.230010282885965
404,Cyprus,CYP,2016,13.006,2.375393637,15.48715944,1237112,133.8865801,0.40416712472274136
405,Cyprus,CYP,2017,11.155,2.357045208,15.03364293,1254275,135.7440476,0.3986366626138606
406,Cyprus,CYP,2018,8.504,2.290612925,14.70791657,1270737,137.5256494,0.7869448989051235
407,Cyprus,CYP,2019,7.155,2.237258463,16.0314662,1286671,139.2501082,0.3885997275138711
408,Cyprus,CYP,2020,7.755,1.806832886,19.19669926,1302247,140.9358225,0
409,Cyprus,CYP,2021,7.513,1.806832886,18.5541028,1317309,142.5659091,0.3795616670044766
410,Cyprus,CYP,2022,6.806,1.806832886,17.87683532,1331370,144.0876623,0
411,Cyprus,CYP,2023,6.098,1.806832886,18.55839835,1344976,144.0876623,0
412,Czechia,CZE,2015,5.048,0.472190345,18.80776377,10546059,136.589289,2.655020230780048
413,Czechia,CZE,2016,3.952,0.434079426,18.78146532,10566332,136.8518586,3.123127306618796
414,Czechia,CZE,2017,2.893,0.428252447,18.50981514,10594438,137.2158788,2.926063657175586
415,Czechia,CZE,2018,2.246,0.411554991,19.17491832,10629928,137.6755343,3.7159235697551294
416,Czechia,CZE,2019,2.015,0.463401736,19.26463299,10671870,138.2268103,3.5139108703535555
417,Czechia,CZE,2020,2.55,0.505332569,21.31989023,10697858,138.5759288,1.916271463
418,Czechia,CZE,2021,2.803,0.505332569,20.77098746,10505772,136.1083491,3.379094844243717
419,Czechia,CZE,2022,2.224,0.505332569,19.44147355,10672118,138.2905113,1.7334890787376978
420,Czechia,CZE,2023,2.579,0.505332569,19.6583815,10864042,138.2905113,1.9329822178522507
421,Denmark,DNK,2015,6.278,0.57241932,25.54635582,5683483,142.087075,1.0556906741869378
422,Denmark,DNK,2016,5.989,0.546981832,24.94291548,5728010,143.20025,1.4839359568157178
423,Denmark,DNK,2017,5.833,0.505025339,24.44966226,5764980,144.1245,1.387689116007341
424,Denmark,DNK,2018,5.131,0.484471518,24.38110739,5793636,144.8409,1.5534286240971988
425,Denmark,DNK,2019,5.018,0.494344371,24.20477676,5814422,145.36055,1.1179099143474622
426,Denmark,DNK,2020,5.637,0.494720344,24.67998753,5831404,145.7851,1.028911733778006
427,Denmark,DNK,2021,5.043,0.494720344,23.84555019,5856733,146.418325,2.0489238625015003
428,Denmark,DNK,2022,4.434,0.494720344,21.68108442,5903037,147.575925,0.6776173010604541
429,Denmark,DNK,2023,5.094,0.494720344,22.48152477,5946952,147.575925,0.9248435164770121
430,Djibouti,DJI,2015,26.07,5.890567359,19.91112023,1020313,44.01695427,14.211325348201974
431,Djibouti,DJI,2016,25.992,5.841564291,22.22990771,1037653,44.76501294,25.53840252955468
432,Djibouti,DJI,2017,26.064,5.68479972,21.77355362,1054841,45.50651424,17.064183132813383
433,Djibouti,DJI,2018,26.184,5.770427097,21.3501237,1071882,46.24167386,18.65877027508625
434,Djibouti,DJI,2019,26.256,5.475482474,19.8109452,1088709,46.96760138,23.42223679605845
435,Djibouti,DJI,2020,27.713,5.475297983,19.58828598,1105188,47.67851596,32.12123186281429
436,Djibouti,DJI,2021,27.668,5.475297983,18.18360517,1121248,48.37135462,25.864037215673964
437,Djibouti,DJI,2022,26.307,5.475297983,15.10796467,1137096,49.05504745,28.14186313204866
438,Djibouti,DJI,2023,26.154,5.475297983,14.48944317,1152944,49.05504745,26.88768925463856
439,Dominica,DMA,2015,0,0,21.34877636,70410,93.88,7.101264025
440,Dominica,DMA,2016,0,0,19.08189893,69606,92.808,14.366577593885586
441,Dominica,DMA,2017,0,0,24.07842692,68496,91.328,21.899088997897685
442,Dominica,DMA,2018,0,0,27.39071221,68174,90.89866667,22.002522955965617
443,Dominica,DMA,2019,0,0,27.39071221,67880,90.50666667,7.365939893930466
444,Dominica,DMA,2020,0,0,27.39071221,67573,90.09733333,22.198215263492816
445,Dominica,DMA,2021,0,0,27.39071221,67202,89.60266667,52.081783280259515
446,Dominica,DMA,2022,0,0,27.39071221,66826,89.10133333,22.446353215814202
447,Dominica,DMA,2023,0,0,27.39071221,66510,89.10133333,45.105999097880016
448,Dominican Republic,DOM,2015,7.605,1.550752721,10.28874596,10434829,215.9972883,5.749974436571984
449,Dominican Republic,DOM,2016,7.284,1.515194167,10.3026904,10551430,218.410888,5.686433023770238
450,Dominican Republic,DOM,2017,5.832,1.492854902,10.93864349,10666843,220.7998965,6.187397714581531
451,Dominican Republic,DOM,2018,5.861,1.439442133,10.85985699,10782053,223.184703,7.187870436
452,Dominican Republic,DOM,2019,6.356,1.38747346,11.06879727,10894043,226.0267745,5.966563561
453,Dominican Republic,DOM,2020,6.126,1.477440524,12.62661536,11008300,228.3973491,3.542781355886013
454,Dominican Republic,DOM,2021,7.702,1.477440524,11.46511231,11123476,230.7869908,8.630395750393133
455,Dominican Republic,DOM,2022,5.504,1.477440524,11.34424686,11230734,233.012352,7.924682393866688
456,Dominican Republic,DOM,2023,5.555,1.477440524,11.29002941,11331265,233.012352,6.442352199864711
457,Ecuador,ECU,2015,3.616,0.537760273,15.37381437,16266225,65.49454421,1.383234278389731
458,Ecuador,ECU,2016,4.597,0.510299791,15.6897053,16505139,66.45651071,1.5449733564800636
459,Ecuador,ECU,2017,3.836,0.498201735,15.29753478,16759519,67.48074972,1.1933516707728904
460,Ecuador,ECU,2018,3.53,0.499932373,15.55676077,17049547,68.64852231,1.7009249571264269
461,Ecuador,ECU,2019,3.812,0.500402705,15.18407744,17340021,69.81809067,1.730101710949485
462,Ecuador,ECU,2020,6.127,0.542675483,16.32258693,17546065,70.64770897,0.8833889535915888
463,Ecuador,ECU,2021,4.552,0.542675483,14.34917346,17682454,71.19686745,3.3649175617818656
464,Ecuador,ECU,2022,3.761,0.542675483,13.40226735,17823897,71.76637542,2.6369093133785504
465,Ecuador,ECU,2023,3.51,0.542675483,13.9198908,17980083,71.76637542,4.310324930090701
466,"Egypt, Arab Rep.",EGY,2015,13.052,2.708118063,11.75989198,99597342,100.0525812,3.775201149
467,"Egypt, Arab Rep.",EGY,2016,12.45,2.675821574,11.42688418,101644589,102.1091858,3.040004421681512
468,"Egypt, Arab Rep.",EGY,2017,11.767,2.721807713,9.579036626,103696057,104.1700306,2.7677040796257084
469,"Egypt, Arab Rep.",EGY,2018,9.855,2.765743236,7.942222794,105682094,106.1651454,3.326012824840507
470,"Egypt, Arab Rep.",EGY,2019,7.851,2.779990519,7.285561115,107553158,108.0447617,3.4029684186493157
471,"Egypt, Arab Rep.",EGY,2020,7.974,2.762327705,7.53990183,109315124,109.8147813,1.7426682880586586
472,"Egypt, Arab Rep.",EGY,2021,7.441,2.762327705,7.558043553,110957008,111.46417,2.9020248995899385
473,"Egypt, Arab Rep.",EGY,2022,7.344,2.762327705,7.268090532,112618250,113.1330052,2.561751758706959
474,"Egypt, Arab Rep.",EGY,2023,7.334,2.762327705,6.786901187,114535772,113.1330052,2.1958205336931766
475,El Salvador,SLV,2015,3.998,1.601092601,16.49744179,6183676,298.4399614,10.673262958796677
476,El Salvador,SLV,2016,4.418,1.568518955,16.31643933,6200800,299.2664093,10.159979357502257
477,El Salvador,SLV,2017,4.385,1.579639797,16.1331092,6213533,299.8809363,11.587610462517862
478,El Salvador,SLV,2018,4.006,1.55723612,16.10965822,6219807,300.1837355,10.932815117896745
479,El Salvador,SLV,2019,4.17,1.537132735,16.03202096,6222318,300.3049228,11.892674080623973
480,El Salvador,SLV,2020,5.008,1.611326551,19.69685236,6234673,300.9012066,7.458290114012395
481,El Salvador,SLV,2021,4.327,1.611326551,19.34677173,6255782,301.9199807,13.587429996761397
482,El Salvador,SLV,2022,2.999,1.611326551,17.95190335,6280319,303.1041988,10.27017895110105
483,El Salvador,SLV,2023,2.992,1.611326551,18.01166641,6309624,303.1041988,8.796086739875467
484,Equatorial Guinea,GNQ,2016,7.962,0.254915922,25.32732608,1508186,53.76777184,0
485,Equatorial Guinea,GNQ,2017,8.004,0.169303856,23.69493699,1562396,55.70039216,0
486,Equatorial Guinea,GNQ,2018,7.967,0.236928105,23.52783741,1616422,57.62645276,0
487,Equatorial Guinea,GNQ,2019,8.064,0.158018574,25.46067199,1670177,59.54285205,0
488,Equatorial Guinea,GNQ,2020,8.781,0.16257572,28.43493158,1716468,61.19315508,0
489,Equatorial Guinea,GNQ,2021,8.976,0.16257572,25.4888078,1758786,62.70181818,0
490,Equatorial Guinea,GNQ,2022,8.455,0.16257572,22.16206653,1803545,64.29750446,0
491,Equatorial Guinea,GNQ,2023,8.367,0.16257572,26.20338256,1847549,64.29750446,0
492,Eritrea,ERI,2015,5.541,14.20808667,0,3105546,25.6468529,71.16300966078107
493,Eritrea,ERI,2016,5.554,14.14302719,0,3124698,25.80742961,148.97439688571504
494,Eritrea,ERI,2017,5.577,14.00974024,0,3150347,26.02060722,148.87248928451373
495,Eritrea,ERI,2018,5.511,13.77666305,0,3192760,26.36951008,178.21571305077737
496,Eritrea,ERI,2019,5.552,13.52957921,0,3240194,26.76064906,216.80800594038504
497,Eritrea,ERI,2020,6.088,13.36213911,0,3291271,27.19141159,80.21217335187531
498,Eritrea,ERI,2021,6.177,13.36213911,0,3350183,27.67812339,160.58824249302202
499,Eritrea,ERI,2022,5.695,13.36213911,0,3409447,28.1677433,224.6698658169492
500,Eritrea,ERI,2023,5.586,13.36213911,0,3470390,28.1677433,307.7463916159279
501,Estonia,EST,2015,6.412,0.937145367,19.22326451,1315407,30.26011042,3.420994414656452
502,Estonia,EST,2016,6.882,0.926088045,19.3323941,1315790,30.2689211,1.899999240000304
503,Estonia,EST,2017,5.807,0.860136131,18.87498165,1317384,30.816,1.5181602327036006
504,Estonia,EST,2018,5.412,0.954326231,18.76285059,1321977,30.9234386,1.5128856250903004
505,Estonia,EST,2019,4.514,0.999508813,19.08193305,1326898,31.03854971,1.507274862122032
506,Estonia,EST,2020,6.956,0.999507386,20.50868922,1329522,31.09992982,0
507,Estonia,EST,2021,6.178,0.999507386,19.81568681,1330932,31.13291228,1.8783829677248725
508,Estonia,EST,2022,5.571,0.999507386,19.29130867,1348840,31.56658086,0
509,Estonia,EST,2023,6.378,0.999507386,20.64359756,1370286,31.56658086,0.36488733009021473
510,Ethiopia,ETH,2015,2.443,0.29822066,9.013788576,103867135,92.03678223,1.3045512423154833
511,Ethiopia,ETH,2016,2.554,0.293609063,11.1344515,106718162,94.56147998,1.808501911792671
512,Ethiopia,ETH,2017,2.662,0.289244754,11.10920751,109666481,97.17443526,1.7416442860056756
513,Ethiopia,ETH,2018,2.802,0.28537214,10.25048168,112664152,99.82988254,1.7929394258432796
514,Ethiopia,ETH,2019,2.917,0.281912471,9.193046848,115737383,102.5521595,2.138462038665588
515,Ethiopia,ETH,2020,3.994,0.280990206,9.129475484,118917671,105.3700909,0.9208051173487917
516,Ethiopia,ETH,2021,3.935,0.280990206,8.835824527,122138588,108.2240681,1.7562017337223514
517,Ethiopia,ETH,2022,3.409,0.280990206,7.361732918,125384287,111.100004,2.121477949
518,Ethiopia,ETH,2023,3.402,0.280990206,6.318362067,128691692,111.100004,2.972219838402622
519,Fiji,FJI,2015,4.291,0.929748224,20.15279867,918578,50.27794198,24.494381533195877
520,Fiji,FJI,2016,4.319,0.937345171,18.94105122,919166,50.31012589,20.126941161879355
521,Fiji,FJI,2017,4.324,1.070678141,19.28052761,918759,50.28784893,16.326370680450477
522,Fiji,FJI,2018,4.335,1.080736934,20.39188402,917180,50.2014231,16.354477856036983
523,Fiji,FJI,2019,4.373,1.067674551,21.2424353,914899,50.07657362,16.94176078452376
524,Fiji,FJI,2020,4.649,1.074812311,23.6332493,914963,50.08007663,4.918231666198524
525,Fiji,FJI,2021,4.701,1.074812311,23.60717884,916711,50.1757526,7.090566165345457
526,Fiji,FJI,2022,4.446,1.074812311,20.50887553,919422,50.32413793,9.244938667989237
527,Fiji,FJI,2023,4.322,1.074812311,20.50887553,924145,50.32413793,10.820812751245747
528,Finland,FIN,2015,9.376,0.924548661,24.52281723,5479531,18.03011089,1.3687302800184906
529,Finland,FIN,2016,8.818,0.898558,23.86877251,5495303,18.08200783,1.3648019044627748
530,Finland,FIN,2017,8.64,0.923178956,22.94909793,5508214,18.12389445,1.7246969707422406
531,Finland,FIN,2018,7.361,0.917849886,23.05513033,5515525,18.14795012,1.6317576296000833
532,Finland,FIN,2019,6.695,0.982142825,23.31857554,5521606,18.16736091,1.9921740160380876
533,Finland,FIN,2020,7.759,0.801608756,24.42054766,5529543,18.19287688,1.1755040154312932
534,Finland,FIN,2021,7.617,0.801608756,24.7953884,5541017,18.23016591,1.8949589939897316
535,Finland,FIN,2022,6.719,0.801608756,24.15002029,5556106,18.27980932,1.1698840878845724
536,Finland,FIN,2023,7.151,0.801608756,25.57551588,5583911,18.27980932,1.6117735400868676
537,France,FRA,2015,10.354,1.012343218,23.77576177,66548272,121.5367021,8.775584736445147
538,France,FRA,2016,10.057,1.010893676,23.75694232,66724104,121.857823,9.576749056
539,France,FRA,2017,9.409,1.011629288,23.7013842,66918020,122.2119706,9.892701547356005
540,France,FRA,2018,9.018,0.998202384,23.35007584,67158348,122.6508802,9.194687159368483
541,France,FRA,2019,8.415,0.996706802,23.03484227,67382061,123.0594459,7.361009631331995
542,France,FRA,2020,8.009,1.003639679,24.83983574,67601110,123.4594937,6.8046219951122096
543,France,FRA,2021,7.874,1.003639679,24.35159842,67842811,123.9009108,18.70500324640145
544,France,FRA,2022,7.308,1.003639679,23.86136358,68065015,124.3067206,20.788947155892053
545,France,FRA,2023,7.335,1.003639679,23.12356061,68287487,124.3067206,14.753801088038282
546,French Polynesia,PYF,2022,11.888,0,31.69070118,280378,80.77729761,0
547,Gabon,GAB,2015,19.978,1.027823331,14.81639805,2040989,7.920941514,1.959834178430163
548,Gabon,GAB,2016,20.134,0.992947111,14.64120171,2100306,8.151146816,1.4283632956340648
549,Gabon,GAB,2017,20.303,1.004993381,13.23170516,2156900,8.370784337,1.3908850665306691
550,Gabon,GAB,2018,20.439,0.934300544,10.56580371,2212318,8.58585788,1.1300364594963292
551,Gabon,GAB,2019,20.358,0.951089541,10.99342929,2267706,8.800814996,1.3229228127455674
552,Gabon,GAB,2020,21.27,0.994901839,13.1475546,2322539,9.013618194,0
553,Gabon,GAB,2021,21.218,0.994901839,11.81726401,2376722,9.223898785,1.2622427023438165
554,Gabon,GAB,2022,20.399,0.994901839,10.80697157,2430747,9.433566189,3.085471256
555,Gabon,GAB,2023,20.278,0.994901839,11.46611969,2484789,9.433566189,3.018364939638738
556,"Gambia, The",GMB,2015,7.26,0.132342091,8.326579387,2224529,219.8151186,0.8990667237873724
557,"Gambia, The",GMB,2016,6.285,0.128302177,8.446617063,2283769,225.6688735,1.5325542994935129
558,"Gambia, The",GMB,2017,5.157,0.155936665,7.866855086,2342189,231.4416008,1.921279623
559,"Gambia, The",GMB,2018,4.127,0.607934149,6.824780047,2399632,237.1177866,1.8752875440900936
560,"Gambia, The",GMB,2019,4.538,0.59208121,8.242884235,2456844,242.7711462,1.2210787498107327
561,"Gambia, The",GMB,2020,5.892,0.573416689,8.991768097,2515733,248.5902174,0.3974984626746956
562,"Gambia, The",GMB,2021,6.269,0.573416689,9.758037143,2576010,254.5464427,3.299676631690094
563,"Gambia, The",GMB,2022,6.076,0.573416689,8.362463195,2636470,260.520751,2.2757702534070177
564,"Gambia, The",GMB,2023,6.479,0.573416689,7.37283089,2697845,260.520751,4.447994603099882
565,Georgia,GEO,2015,16.506,1.261724838,14.60965816,3725276,65.17505861,2.550146620008826
566,Georgia,GEO,2016,16.604,1.274173841,15.18576943,3727505,65.21405578,3.219311577046845
567,Georgia,GEO,2017,13.939,1.320296925,13.89123391,3728004,65.22278596,3.621240749741685
568,Georgia,GEO,2018,12.667,1.354977045,13.28869264,3726549,65.19733021,4.159344208274197
569,Georgia,GEO,2019,11.565,1.402361145,13.14428367,3720161,65.08556982,4.972903054464578
570,Georgia,GEO,2020,11.73,1.394459277,14.6114698,3722716,65.13027048,2.686210820272081
571,Georgia,GEO,2021,11.791,1.394459277,14.12665948,3708610,64.88348088,6.066963093989393
572,Georgia,GEO,2022,11.647,1.394459277,12.52938293,3712502,64.95157283,6.329962919885295
573,Georgia,GEO,2023,11.537,1.394459277,12.14854588,3715483,64.95157283,6.0557402631098025
