index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
71,Armenia,ARM,2020,18.175,3.183240173,14.96861824,2961500,104.0217773,2.8701671450278576
72,Armenia,ARM,2021,15.469,3.183240173,13.64985026,2962300,104.0498771,2.869392026465922
73,Armenia,ARM,2022,13.379,3.183240173,11.67648189,2969200,104.2922374,4.5466792401993805
74,Armenia,ARM,2023,13.245,3.183240173,14.14657932,2990900,104.2922374,8.024340499515196
75,Australia,AUS,2015,6.055,0.459869028,19.18887551,23815995,3.100112596,6.172322424488248
76,Australia,AUS,2016,5.711,0.453519543,19.97359332,24190907,3.144935531,7.068771749649568
77,Australia,AUS,2017,5.592,0.445370371,19.94828337,24592588,3.197156014,7.603917082659214
78,Australia,AUS,2018,5.3,0.435963557,20.01682912,24963258,3.245344916,8.732834472167054
79,Australia,AUS,2019,5.159,0.433723805,20.37134132,25334826,3.293650563,8.427135043
80,Australia,AUS,2020,6.456,0.441194021,21.89469148,25649248,3.334526951,4.600524740530404
81,Australia,AUS,2021,5.116,0.441194021,22.42271872,25685412,3.339228447,8.078515540260753
82,Australia,AUS,2022,3.728,0.441194021,22.07842755,26014399,3.381998357,4.862691619360493
83,Australia,AUS,2023,3.668,0.441194021,21.31385508,26658948,3.381998357,4.726368047231271
84,Austria,AUT,2015,5.802,0.478649862,19.88795485,8642699,104.7345977,1.214898262683914
85,Austria,AUT,2016,6.064,0.493283309,19.75841914,8736668,105.8733398,1.144601122533213
86,Austria,AUT,2017,5.561,0.45975099,19.59894064,8797566,106.6113185,1.1935119327323036
87,Austria,AUT,2018,4.933,0.49583122,19.4423168,8840521,107.1318589,0.9049240423726157
88,Austria,AUT,2019,4.56,0.47539301,19.53132113,8879920,107.6093068,1.1824430850728385
89,Austria,AUT,2020,5.201,0.499147868,21.15293402,8916864,108.0570044,0.5607352540085841
90,Austria,AUT,2021,6.459,0.499147868,21.73176561,8955797,108.5288051,1.1724249667561693
91,Austria,AUT,2022,4.992,0.499147868,20.55248881,9041851,109.5716311,0.9953714123358149
92,Austria,AUT,2023,5.264,0.499147868,20.46541252,9131761,109.5716311,0.9855711291611771
93,Azerbaijan,AZE,2015,4.96,1.746208097,12.40823832,9649341,116.7310768,0.9845231917910249
94,Azerbaijan,AZE,2016,5,1.703950504,12.83206344,9757812,118.033289,1.178542894657122
95,Azerbaijan,AZE,2017,5,1.681642514,11.34141244,9854033,119.2087416,1.1162942117202164
96,Azerbaijan,AZE,2018,4.9,1.653595961,10.46646357,9939771,120.2575919,2.967875215636256
97,Azerbaijan,AZE,2019,5,1.640579453,11.12347093,10024283,121.2800711,3.890552571191376
98,Azerbaijan,AZE,2020,7.24,1.57755592,16.21894208,10093121,122.1247368,1.9815476303117738
99,Azerbaijan,AZE,2021,6.04,1.57755592,13.86744232,10137750,122.6588022,5.080022687479963
100,Azerbaijan,AZE,2022,5.65,1.57755592,11.64214799,10141756,122.7072716,3.451078886141611
101,Azerbaijan,AZE,2023,5.636,1.57755592,14.01295064,10153958,122.7072716,2.4128522099461116
102,"Bahamas, The",BHS,2015,12,0.591662115,11.52939967,385346,38.4961039,16.86795762769044
103,"Bahamas, The",BHS,2016,12.7,0.58503481,10.84196814,388055,38.76673327,20.61563438172424
104,"Bahamas, The",BHS,2017,9.8,0.444503712,11.91170822,390485,39.00949051,32.01147291189162
105,"Bahamas, The",BHS,2018,10,0.570813849,11.42218488,392717,39.23246753,45.83453224586662
106,"Bahamas, The",BHS,2019,9.336,0.869531192,12.57509872,394675,39.42807193,53.208335972635716
107,"Bahamas, The",BHS,2020,12.027,0.917380695,18.48326003,395863,39.54675325,25.261264629429878
108,"Bahamas, The",BHS,2021,11.032,0.917380695,14.78771033,396373,39.5977023,93.34641865111902
109,"Bahamas, The",BHS,2022,9.272,0.917380695,13.30349259,397538,39.71408591,67.91803550855516
110,"Bahamas, The",BHS,2023,8.643,0.917380695,12.95811975,399440,39.71408591,101.39194872821952
111,Bahrain,BHR,2015,1.16,2.503528225,16.88445926,1370322,1761.339332,1.824388720315371
112,Bahrain,BHR,2016,1.192,2.376425275,16.27798917,1423726,1827.632863,0.3511911702111221
113,Bahrain,BHR,2017,1.194,2.181641145,15.85287308,1501116,1924.507692,1.6654275885407923
114,Bahrain,BHR,2018,1.2,2.209787055,15.55913739,1503091,1931.993573,2.3285349988789767
115,Bahrain,BHR,2019,1.223,2.239037261,14.99414782,1483756,1902.251282,1.684913153
116,Bahrain,BHR,2020,1.781,2.315305633,16.55560874,1472204,1875.419108,0.33962684519264996
117,Bahrain,BHR,2021,1.541,2.315305633,15.20833659,1504365,1904.259494,0.3323661478431099
118,Bahrain,BHR,2022,1.326,2.315305633,13.62706909,1524693,1929.991139,0
119,Bahrain,BHR,2023,1.154,2.315305633,14.64934552,1577059,1929.991139,0
120,Bangladesh,BGD,2015,4.396,0.356826341,5.404240381,159383179,1224.423285,2.0767561676003465
121,Bangladesh,BGD,2016,4.35,0.352791753,5.865298315,160811932,1235.399339,2.008557425
122,Bangladesh,BGD,2017,4.372,0.334100479,6.02233216,162186147,1245.956419,1.9668757529581118
123,Bangladesh,BGD,2018,4.407,0.335337125,5.959166931,163523103,1256.227264,1.9569100275696212
124,Bangladesh,BGD,2019,4.441,0.327972652,6.238189406,164913055,1266.905239,2.0616924475748752
125,Bangladesh,BGD,2020,5.436,0.322392964,5.971207292,166298024,1277.544934,0.9801679904506863
126,Bangladesh,BGD,2021,5.327,0.322392964,5.882748688,167658854,1287.999186,1.7923300370405728
127,Bangladesh,BGD,2022,4.593,0.322392964,5.698999556,169384897,1301.2591,2.3969079132244007
128,Bangladesh,BGD,2023,4.454,0.322392964,5.665169627,171466990,1301.2591,2.9305932296356283
129,Barbados,BRB,2015,9.803,0.413475225,0,278990,648.8139535,51.97318900319008
130,Barbados,BRB,2016,8.247,0.407239517,0,279598,650.227907,48.28360717887825
131,Barbados,BRB,2017,8.622,0.663327916,0,280171,651.5604651,67.81572682397537
132,Barbados,BRB,2018,8.322,0.405496134,0,280711,652.8162791,64.12288795237806
133,Barbados,BRB,2019,8.412,0.670124509,0,281207,653.9697674,92.45858033405997
134,Barbados,BRB,2020,9.777,0.678983426,0,281698,655.1116279,44.37376197204098
135,Barbados,BRB,2021,9.433,0.678983426,0,282147,656.155814,90.37841975991239
136,Barbados,BRB,2022,8.365,0.678983426,0,282318,656.5534884,67.29999504
137,Barbados,BRB,2023,7.878,0.678983426,0,282336,656.5534884,93.85979825456194
138,Belarus,BLR,2015,5.881,3.100404034,14.92158825,9461076,46.61133719,2.2196206858501086
139,Belarus,BLR,2016,5.844,3.051217639,15.65366671,9469379,46.64994482,3.590520561063191
140,Belarus,BLR,2017,5.648,3.052177266,15.65325113,9458989,46.59875953,3.277305851608454
